s0,power_mW,waist_mm,branch,m_J,peak_load_rate_atoms_per_s,gain_over_no_slower,optimum_current_A,optimum_gradient_G_per_cm,optimum_detuning_gamma,optimum_detuning_MHz,coarse_rate_before_refinement,edge_limited
0.1000,2.4419,5.0000,pol=-1,+1,8.971502e+09,5.718991e+00,29.600,11.0954,-2.0234,-61.108,7.828391e+09,0
0.2000,4.8837,5.0000,pol=-1,+1,1.894753e+10,1.207833e+01,40.800,15.2936,-2.4297,-73.377,1.570050e+10,0
0.3000,7.3256,5.0000,pol=-1,+1,2.487950e+10,1.585974e+01,42.000,15.7434,-2.6328,-79.511,1.901626e+10,1
0.4000,9.7675,5.0000,pol=-1,+1,2.827045e+10,1.802133e+01,40.800,15.2936,-2.7344,-82.578,2.049832e+10,0
0.5000,12.2094,5.0000,pol=-1,+1,3.193318e+10,2.035619e+01,44.000,16.4931,-2.9375,-88.713,3.193318e+10,0
0.6000,14.6512,5.0000,pol=-1,+1,3.271782e+10,2.085636e+01,40.800,15.2936,-3.0391,-91.780,2.195432e+10,0
0.7000,17.0931,5.0000,pol=-1,+1,3.263037e+10,2.080062e+01,42.000,15.7434,-3.2422,-97.914,2.652487e+10,1
0.8000,19.5350,5.0000,pol=-1,+1,3.973472e+10,2.532937e+01,46.000,17.2428,-3.2422,-97.914,3.022530e+10,1
0.9000,21.9768,5.0000,pol=-1,+1,3.791349e+10,2.416841e+01,45.600,17.0929,-3.3438,-100.981,3.595020e+10,0
1.0000,24.4187,5.0000,pol=-1,+1,3.538059e+10,2.255378e+01,42.000,15.7434,-3.4453,-104.048,2.706966e+10,1
0.1000,2.4419,5.0000,pol=+1,-1,2.243118e+10,1.429903e+01,35.600,13.3444,-8.8281,-266.609,2.014224e+10,1
0.2000,4.8837,5.0000,pol=+1,-1,5.600477e+10,3.570091e+01,47.600,17.8426,-11.5703,-349.423,4.923330e+10,0
0.3000,7.3256,5.0000,pol=+1,-1,8.862673e+10,5.649617e+01,57.200,21.4411,-13.5000,-407.700,8.503974e+10,0
0.4000,9.7675,5.0000,pol=+1,-1,1.199719e+11,7.647755e+01,63.600,23.8401,-14.9219,-450.641,1.094756e+11,1
0.5000,12.2094,5.0000,pol=+1,-1,1.431825e+11,9.127340e+01,69.200,25.9392,-16.1406,-487.447,1.375223e+11,0
0.6000,14.6512,5.0000,pol=+1,-1,1.567026e+11,9.989192e+01,74.400,27.8884,-17.1562,-518.119,1.463303e+11,0
0.7000,17.0931,5.0000,pol=+1,-1,1.666067e+11,1.062054e+02,78.400,29.3878,-17.9688,-542.656,1.542282e+11,0
0.8000,19.5350,5.0000,pol=+1,-1,1.685963e+11,1.074737e+02,80.000,29.9875,-18.3750,-554.925,1.685963e+11,0
0.9000,21.9768,5.0000,pol=+1,-1,1.829392e+11,1.166168e+02,85.200,31.9367,-19.2891,-582.530,1.764530e+11,0
1.0000,24.4187,5.0000,pol=+1,-1,1.733733e+11,1.105189e+02,79.600,29.8376,-18.5781,-561.059,1.674683e+11,1
